code,date,tail_threshold_amount,tail_history_n_dates,tail_order_count,tail_committed_amount_share,submitted_pressure,cancellation_adjusted_pressure,executed_pressure,quantile_large_submitted_pressure,quantile_large_committed_pressure,quantile_large_executed_pressure,commitment_asymmetry,execution_conversion_asymmetry,price_net_flow_confirmation,indicative_path_return,signed_net_flow_amount,price_flow_direction_conflict,price_response_per_million_flow,price_path_grid_coverage,surprise__submitted_pressure,surprise__cancellation_adjusted_pressure,surprise__quantile_large_submitted_pressure,surprise__quantile_large_committed_pressure,surprise__commitment_asymmetry,surprise__execution_conversion_asymmetry,surprise__price_net_flow_confirmation,surprise__indicative_path_return
603650.SH,2026-02-02,180035.99999999977,20.0,49.0,0.3785519973582067,-0.005369093770892877,-0.013043849123950374,0.0355722907049745,2.5266891958492328e-05,-0.01262949373680132,0.0063127311205744465,-0.015161863300464873,0.022854466432898957,0.21761146351447905,-0.027334851936218763,3721324.58,1.0,-0.007345462979262996,1.0,0.30086323502182655,0.3011317857439999,0.4251942478222257,0.4612789980528815,0.013248081521550437,-0.1451060497596756,0.15529126523103065,-0.022708239577487466
603650.SH,2026-02-03,179168.3999999998,20.0,44.0,0.31424573077844,-0.10746215449183208,-0.16065347785618872,0.01412591434345301,0.17059566916879793,0.0633317568686765,0.2855869695180441,-0.09925585980338125,0.05304898886897064,0.22310631301860953,0.014016967908520694,-4143463.0,1.0,0.0033829113252651978,1.0,0.18009332844914036,0.14394950491591335,0.579643871705239,0.5086030571188234,-0.07084591498136594,-0.11491152732360391,0.12938631724468097,0.02098192957712408
603650.SH,2026-02-04,178555.49999999994,20.0,43.0,0.3651858047228795,-0.31499277049194035,-0.31434787966158917,0.024766302563620418,-0.3778953607182989,-0.3778953607182989,-0.16167047366369172,0.0014117964841111608,0.10868500218040475,0.15250490532114025,-0.01089674883887104,-10583821.0,0.0,-0.0010295666223824088,1.0,-0.05598793886035208,-0.04411279046741745,0.015032063424315956,0.03873874799231203,0.043159585869876615,-0.05619765032686555,0.004544001706475259,-0.003931787170267653
603650.SH,2026-02-05,172873.34999999963,20.0,36.0,0.3109300721979917,-0.25956947282865006,-0.2869621629243414,0.025746400360495077,-0.22209539812323725,-0.30170269923453374,0.053363822939923256,-0.05680895712098177,0.10119004726854643,0.18652423652816166,-0.009467667023936976,-8165149.0,0.0,-0.0011595216479130775,1.0,0.02798601011232238,0.01764081984776067,0.1633159943072196,0.10932320197859802,-0.029825048655911457,-0.06369260523872387,0.034019331207021414,0.00046995015341827484
603650.SH,2026-02-06,157332.0,20.0,43.0,0.39217210581476686,-0.13011227793350597,-0.1400351906648895,0.02254137121832295,-0.008652212105633487,-0.03602644572984665,-0.17385735146777256,-0.019742088555031012,0.07208416567322762,-0.1820586412984527,-0.00917431192660545,-2158732.0,0.0,-0.004249861458764311,1.0,0.15744320500746647,0.16456779210721256,0.3692431486126654,0.36939124798580597,0.007241819910039304,-0.09279848683404268,-0.34382033086635844,0.0010078960047985586
603650.SH,2026-02-09,151708.0,20.0,103.0,0.4481570695527519,-0.0737778513255695,-0.16246404027389716,0.01588208905884229,0.027197457805251235,-0.15053727864392755,0.07880846924953287,-0.1591040919235951,0.12757349568213094,0.15628918630800404,0.017699115044247815,-8756650.489999998,1.0,0.002021219764847072,1.0,0.21377763161540295,0.1421389424982049,0.39872625535017375,0.2411192485730482,-0.14165211599584715,-0.02791133632711501,0.017585066940104477,0.027020104519519028
603650.SH,2026-02-10,151185.00000000003,20.0,112.0,0.4886607928899546,-0.518565762074614,-0.5375527761681809,0.043880447829439145,-0.6501165851672294,-0.6825537962025859,-0.35690119417882343,-0.05021111683262647,0.3425604521933512,0.1515680986638684,0.0,-42024555.4,,0.0,1.0,-0.23101027913364158,-0.2329497933960788,-0.27858778762230685,-0.2908972689856102,-0.02093709574027308,0.20376159236278088,-0.0028289471507037534,0.009076398721222456
603650.SH,2026-02-11,153104.3999999999,20.0,74.0,0.4522045220180281,-0.2131330495349905,-0.20902544155113248,0.03363865703635184,-0.2593696062492992,-0.24754114653638995,-0.22285827182830345,0.008485703689153912,0.16426445308443316,-0.09052462572888395,-0.010216450216450235,-4015472.0,0.0,-0.0025442713126744977,1.0,0.09309927925772896,0.10350023377464254,0.12604178618115763,0.1634847546767418,0.050233493074919366,0.008779621075187205,-0.2449216715434561,-0.0011400514952277785
603650.SH,2026-02-12,151708.0,20.0,41.0,0.3869826630530076,-0.32717382171084025,-0.34601695845960556,0.015596995703548418,-0.31294404672090664,-0.3307482203566988,-0.17653411700244584,-0.04132153224714452,0.09778481703029249,-0.12182799232125245,-0.002595155709342545,-8728212.0,0.0,-0.0002973295915981701,1.0,-0.020941492918120808,-0.03349128313383054,0.07246734570955021,0.08027768085643294,0.0004262571386209335,-0.06482012953166524,-0.27386449431375676,0.006725833765928668
603650.SH,2026-02-13,151229.99999999994,20.0,60.0,0.5121729977799726,-0.42268850331852453,-0.41952383546168603,0.016445043523955667,-0.3472307659946244,-0.3335779995483716,-0.09857003262723794,0.00757407363513718,0.14286533607688395,0.21022325030927266,-0.005173305742369405,-14361993.0,0.0,-0.0003602080673879346,1.0,-0.11645617452580509,-0.10699816013591101,0.024298031550298138,0.05807852766860416,0.050579652329637015,-0.012619495932362002,0.07198753427000906,0.003903092978853051
603650.SH,2026-02-24,144041.99999999983,20.0,89.0,0.5802010404908858,-0.01893397656080082,-0.02943158035728759,0.024139347448997893,0.10515791993978986,0.09720678407183636,0.03433238859691087,-0.020757527257660113,0.06154181686020521,-0.027692222084314745,-0.0013559322033898091,-2421090.0,0.0,-0.0005600503093190459,1.0,0.28729835223191863,0.2830940949684874,0.46772098329625145,0.4529434642051716,0.009774283143427653,-0.0849029631677416,-0.16592793812357834,0.005719963425714625
603650.SH,2026-02-25,143749.29999999996,20.0,76.0,0.3756356439250154,-0.39799649555652683,-0.39416388303490923,0.019699053395294364,-0.39814374695878973,-0.3961008851927921,-0.060855482341934795,0.008404208373444688,0.16421689471723308,0.05873878773651145,-0.00016393442622952836,-15163160.5,0.0,-1.0811362593538303e-05,1.0,-0.09176416676380739,-0.08163820770913421,-0.035580683602328134,-0.040364205059456815,0.039443738125847005,0.017772114689286272,-0.034981208037417125,0.0069119612028749056
603650.SH,2026-02-26,144234.99999999985,20.0,51.0,0.3546140064764495,-0.14432217162589145,-0.14500234704842607,0.022697071735034782,-0.19034219505533526,-0.18213650171969328,-0.3336979226679475,-0.0013675883347730178,0.06425199905273371,0.36131351664570627,-0.002775057133529102,-5090725.0,0.0,-0.0005451202203082187,1.0,0.16570009677433672,0.17550707150326833,0.17222086830112635,0.17360017841364198,0.0296719414176293,-0.0821927809752131,0.2678099807215276,0.004300838495575332
603650.SH,2026-02-27,137720.0,20.0,56.0,0.440977210680617,-0.3916022492027239,-0.3874351567704761,0.020072118259064162,-0.6476133221024033,-0.6493145744745551,-0.19265210537938884,0.009441804599829573,0.11342191986880115,0.3368936129192756,-0.01243339253996456,-16541422.0,0.0,-0.0007516519764723861,1.0,-0.10404676626175147,-0.07490948144470105,-0.3175259157446378,-0.3171514645220199,0.029691612506175136,-0.021797496010706296,0.198657896880012,-0.008459211102015307
603650.SH,2026-03-02,135776.79999999996,20.0,124.0,0.5440164898805652,0.12218160282535337,0.1409245113856374,0.027025616908815005,0.11336525294797638,0.1442627928658993,0.10810232501200481,0.03704480786654063,-0.07306540722196658,0.03658393670216016,0.004827586206896495,23060238.0,0.0,0.00020934676419628827,1.0,0.43220387122558157,0.45345018671141246,0.4434526593057419,0.47642590281843444,0.05449678379428857,-0.19356311499743262,-0.10165177933710344,0.011903481836000929
603650.SH,2026-03-03,140128.49999999974,20.0,44.0,0.4442580853168514,-0.1878376062273865,-0.18066354796607392,0.01696868114867495,-0.3746147308901233,-0.35484261287492763,0.2663665867829255,0.014587226202407377,0.03749729467675722,-0.16977977564271893,-0.0016666666666667052,-5076245.0,0.0,-0.0003283266797931102,1.0,0.12218466217284168,0.1318621273597011,-0.044527324532357804,-0.022679502922392458,0.03203920213015532,-0.08300041309870883,-0.3080154916819825,0.0023075147712825483
603650.SH,2026-03-04,140362.5,20.0,44.0,0.44133455931564974,-0.30164404749629287,-0.2582181260910053,0.015686272063595928,-0.32359907501599855,-0.23517756968562087,-0.026331487483489895,0.08824713792856875,0.18779083800235774,0.07419434409467524,0.0017889087656530744,-6156529.0,1.0,0.00029057099636057654,1.0,-0.01459839534189189,0.04061469086614583,0.006488331341766962,0.0969855402669143,0.10250165829984847,0.07673737697775479,-0.06404137194458837,0.004474015187088898
